,community,h_degree
0,0,1
1,1,1
2,2,4
3,3,1
4,4,5
5,5,4
6,6,2
7,7,1
8,8,2
9,9,1
10,10,2
11,11,1
12,12,3
13,13,1
14,14,1
15,15,2
16,16,2
17,17,3
18,18,1
19,19,2
20,20,2
21,21,1
22,22,1
23,23,1
24,24,1
25,25,2
26,26,2
27,27,1
28,28,2
29,29,2
30,30,3
31,31,2
32,32,1
33,33,1
34,34,1
35,35,1
36,36,5
37,37,1
38,38,2
39,39,2
40,40,1
41,41,3
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
47,47,1
48,48,2
49,49,1
50,50,3
51,51,2
52,52,2
53,53,1
54,54,1
55,55,1
56,56,2
57,57,3
58,58,2
59,59,1
60,60,1
